conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0,detectar necesidades tecnológicas,released,skill/competence,cross-sector,,"Evaluar las necesidades e identificar herramientas digitales y posibles respuestas tecnológicas para solventarlas. Ajustar y adecuar los entornos digitales a las necesidades personales (p. ej., accesibilidad).
	",http://data.europa.eu/esco/skill/aca5081a-ceb0-4028-9cc5-1daafd4f86f9 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,desarrollar soluciones | resolución de problemas con herramientas digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"gestionar datos, información y contenido digitales",released,skill/competence,cross-sector,"gestionar datos, información y contenidos electrónicos | gestionar datos, información y contenidos digitales | gestionar datos, información y contenido electrónicos","Organizar, almacenar y recuperar datos, información y contenido en entornos digitales. Organizarlos y tratarlos en un entorno estructurado.",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77 | http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,gestionar información | tratamiento digital de los datos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,comunicación y colaboración digitales,released,,,,"La comunicación en entornos digitales, el intercambio de recursos a través de herramientas en línea, el enlace con otras personas y la colaboración a través de herramientas digitales, la interactuación con las comunidades y redes y la participación en las mismas, así como la sensibilización intercultural.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utilizar herramientas digitales para la colaboración y la productividad
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,integrar y reelaborar contenido digital,released,skill/competence,cross-sector,integrar y modificar contenido digital | incorporar y reelaborar contenido digital | integrar y reelaborar contenidos digitales | añadir y reelaborar contenido digital,"Modificar, perfeccionar, mejorar e integrar información y contenido en un conjunto de conocimientos existente para crear contenido y conocimiento nuevo, original y pertinente.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,utilizar herramientas digitales para la colaboración y la productividad | creación de contenidos digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,desarrollar contenido digital,released,skill/competence,cross-sector,desarrollar contenido digital | crear contenido digital | concebir contenidos digitales | elaborar contenidos digitales | crear contenidos digitales,"Crear y editar contenido digital en diferentes formatos, exprésese a través de los medios digitales.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,utilizar herramientas digitales para la colaboración y la productividad | creación de contenidos digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,tratamiento digital de los datos,released,,,procesamiento digital de datos | proceso digital de datos,"Identificar, localizar, recuperar, almacenar, organizar y analizar información digital, evaluando su pertinencia y su propósito.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,acceder a y analizar datos digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,resolución de problemas con herramientas digitales,released,,,resolución de problemas mediante hardware y herramientas informáticas | resolución de problemas mediante hardware y herramientas de las TIC,"Identificar las necesidades y los recursos digitales, tomar decisiones informadas sobre las herramientas digitales más adecuadas en función de su finalidad o necesidad, resolver los problemas conceptuales a través de medios digitales, utilizar de forma creativa tecnologías, resolver problemas técnicos, actualizar la competencia propia y de otros.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utilizar herramientas digitales para la colaboración y la productividad
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,interactuar mediante tecnologías digitales,released,skill/competence,cross-sector,interactuar utilizando tecnologías digitales,Interactuar a través de una serie de tecnologías digitales y comprenda los medios de comunicación digital apropiados para un contexto dado.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,comunicación y colaboración digitales | utilizar herramientas digitales para la colaboración y la productividad
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a91732ce-988e-4105-9570-f425c6ffdc82,régimen de propiedad intelectual de los contenidos digitales,released,knowledge,cross-sector,derechos de autor y licencias relacionados con los contenidos digitales | derechos de autor y licencias relacionados con el contenido electrónico | derechos de autor y licencias relacionados con los contenidos electrónicos,"Disposiciones sobre derechos de autor y concesión de licencias aplicables a los datos, la información y los contenidos digitales.
	",http://data.europa.eu/esco/isced-f/0211 | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,técnicas audiovisuales y producción para medios de comunicación | creación de contenidos digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,gestionar la identidad digital,released,skill/competence,cross-sector,gestionar la identidad 2.0,"Crear y gestionar una o varias identidades digitales, ser capaz de proteger su propia reputación y tratar los datos que produce uno mismo  a través de varias herramientas, entornos y servicios digitales.",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,trabajar con dispositivos y aplicaciones digitales | comunicación y colaboración digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,proteger el medio ambiente frente al impacto de las tecnologías digitales,released,skill/competence,occupation-specific,proteger el entorno frente al impacto de las tecnologías digitales | proteger el medio ambiente ante el impacto de las tecnologías digitales,Ser consciente del impacto medioambiental de las tecnologías digitales y su uso.,http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6 | http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,cumplir las leyes y normas sobre protección medioambiental | evaluar el impacto ambiental de la conducta personal | seguridad de las tecnologías de la información y de las comunicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,proteger la salud y el bienestar mediante tecnologías digitales,released,skill/competence,cross-sector,,"Ser capaz de evitar riesgos para la salud y amenazas para el bienestar físico y psicológico mediante el uso de tecnologías digitales. Ser capaz de protegerse a sí mismo y a otras personas frente a posibles peligros en el entorno digital (por ejemplo, el ciberacoso). Conocer las tecnologías digitales para el bienestar social y la inclusión social.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,seguridad de las tecnologías de la información y de las comunicaciones | cumplir los procedimientos de salud y seguridad
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,proteger dispositivos de Tic,released,skill/competence,cross-sector,proteger dispositivos de TIC | proteger dispositivos informáticos,"Proteger los dispositivos y  el contenido digital, y comprender los riesgos y las amenazas en entornos digitales. Conocer las medidas de seguridad y protección y tener debida consideración de la fiabilidad y la privacidad. Utilizar herramientas y métodos que permitan maximizar la seguridad de los dispositivos y la información de las TIC mediante el control del acceso, como contraseñas, firmas digitales, biometría y sistemas de protección como cortafuegos, antivirus y filtros antispam",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,proteger dispositivos de tic | seguridad de las tecnologías de la información y de las comunicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf,"navegar, buscar y filtrar datos, información y contenido digitales",released,skill/competence,cross-sector,"navegar, buscar y filtrar datos, información y contenidos electrónicos | navegar, buscar y filtrar datos, información y contenido electrónicos | navegar, buscar y filtrar datos, información y contenidos digitales","Articular las necesidades de información, buscar datos, información y contenido en entornos digitales, acceder y navegue a través de ellos. Crear y actualizar estrategias personales de búsqueda.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c,"tratamiento digital de los datos | navegar, buscar y filtrar datos digitales"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,creación de contenidos digitales,released,,,creación de contenidos con programas de tecnologías de la información y de las comunicaciones | creación de contenidos con programas de TIC | creación de contenidos con programas informáticos,"Crear y editar contenido nuevo (desde procesamiento de texto hasta imágenes y video); integrar y reelaborar conocimientos y contenidos previos; producir expresiones creativas, salidas de medios y programación; tratar y aplicar derechos de propiedad intelectual y licencias.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utilizar herramientas digitales para la colaboración y la productividad
