conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,químico cosmético/química cosmética,released,química cosmética | químico cosmético,"Los químicos cosméticos desarrollan fórmulas para crear y examinar nuevos productos cosméticos, además de mejorar los productos cosméticos existentes, como los perfumes y las fragancias, los pintalabios, las lociones y el maquillaje resistentes al agua, los tintes capilares, los jabones y los detergentes con propiedades especiales, los medicamentos de aplicación por vía tópica o los complementos para la salud.",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,químico/química
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,científico medioambiental/científica medioambiental,released,químico del medio ambiente | química del medio ambiente | científica ambientalista | científico ambientalista,"Los científicos medioambientales detectan problemas y encuentran soluciones para reducir al mínimo los peligros para el medio ambiente mediante el análisis de muestras de aire, agua o suelo. Asesoran sobre o desarrollan políticas medioambientales y tienen como objetivo mejorar la conservación de las reservas de agua y la mejora de la gestión de los vertederos. Llevan a cabo evaluaciones de riesgos para el medioambiente y analizan las repercusiones para este de nuevas soluciones, obras de construcción o alteraciones medioambientales, además de asegurarse del cumplimiento de los reglamentos de protección del medio ambiente.",http://data.europa.eu/esco/isco/C2133,Profesionales de la protección medioambiental
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sociólogo/socióloga,released,socióloga | sociólogo,"Los sociólogos centran su investigación en explicar el comportamiento social y el modo en que las personas se han organizado como una sociedad. Investigan y explican el modo en que las sociedades han evolucionado describiendo sus sistemas jurídicos, políticos y económicos y sus expresiones culturales.",http://data.europa.eu/esco/isco/C2632,"Sociólogos, antropólogos y afines"
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,biofísico/biofísica,released,biofísica | biofísico,"Los biofísicos estudian la relación existente entre los organismos vivos y la física. Llevan a cabo investigaciones sobre los organismos vivos, basadas en los métodos de la física, y cuyo objetivo es explicar la complejidad de la vida, predecir pautas y extraer conclusiones sobre aspectos de la vida. Sus campos de investigación abarcan desde el ADN y las proteínas, pasando por las moléculas y las células, hasta los entornos.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biólogo/bióloga
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,especialista en medios de comunicación,released,investigador de los medios de comunicación | investigadora de los medios de comunicación,"Los especialistas en medios de comunicación investigan el papel e impacto de los medios de comunicación en la sociedad. Observan y documentan el uso de diferentes tipos de medios como periódicos, radio y televisión, así como la respuesta de la sociedad.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,antropólogo/antropóloga
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,profesor universitario de enfermería/profesora universitaria de enfermería,released,profesor universitario de enfermería | profesora de escuela superior de enfermería | profesor de escuela superior de enfermería | profesora universitaria de enfermería,"Los profesores universitarios de enfermería son catedráticos de dicha materia, profesores, o profesores universitarios, y, a menudo, médicos que forman en su disciplina de especialidad, la enfermería —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, para la puntuación de trabajos y exámenes, para dirigir las prácticas de laboratorio, así como para llevar a cabo sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en sus respectivas áreas de especialidad dentro del ámbito de la enfermería, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorólogo/meteoróloga,released,meteorólogo | meteoróloga,"Los meteorólogos estudian los procesos climáticos, miden y predicen patrones meteorológicos, además de prestar servicios de consultoría a diversos usuarios de información meteorológica. Elaboran modelos de previsión meteorológica, desarrollan instrumentos para la recogida de datos meteorológicos y crean estadísticas y bases de datos.",http://data.europa.eu/esco/isco/C2112,Meteorólogos
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,ingeniero especialista en electromagnetismo/ingeniera especialista en electromagnetismo,released,ingeniera especialista en electromagnetismo | ingeniero especialista en electromagnetismo,"Los ingenieros especialistas en electromagnetismo diseñan y desarrollan sistemas, dispositivos y componentes electromagnéticos, como electroimanes en altavoces, cerraduras electromagnéticas, imanes conductores en máquinas de resonancia magnética, e imanes en motores eléctricos.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,ingeniero eléctrico/ingeniera eléctrica
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,arqueólogo/arqueóloga,released,arqueóloga | arqueólogo,"Los arqueólogos investigan y estudian las anteriores civilizaciones y poblaciones mediante la recogida e inspección de materiales. Analizan y extraen conclusiones sobre una amplia gama de asuntos, tales como los sistemas de jerarquía, la lingüística, la cultura y la política, basados en el estudio de objetos, estructuras, fósiles, reliquias y articulares abandonados por estos pueblos. Los arqueólogos utilizan diversos métodos interdisciplinarios como estratigrafía, tipología, análisis en 3D, matemáticas y modelización.",http://data.europa.eu/esco/isco/C2632,"Sociólogos, antropólogos y afines"
Occupation,http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930,fisiólogo/fisióloga,released,fisióloga | fisiólogo,"Los fisiólogos estudian y se dedican a la investigación sobre el funcionamiento de los distintos organismos vivos, sus partes constituyentes y sus interacciones. Entienden la manera en que los sistemas de vida reaccionan a factores como las enfermedades, la actividad física y el estrés, y utilizan esta información para desarrollar métodos y soluciones que permitan nivelar la eficacia de dichos estímulos en los organismos vivos.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biólogo/bióloga
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,científico de datos/científica de datos,released,especialista en datos | científico de datos | especialista en datos de investigación | científica de datos,"Los científicos de datos detectan e interpretan fuentes de datos ricas, gestionan grandes cantidades de datos, fusionan fuentes de datos, garantizan la coherencia de los conjuntos de datos y crean visualizaciones a fin de ayudar a la comprensión de los datos. Se basan en modelos matemáticos que utilizan datos, presentan y comunican información y conclusiones sobre datos a especialistas y científicos en su equipo y, si fuera necesario, a un público no especializado, y recomiendan formas de aplicar los datos.",http://data.europa.eu/esco/isco/C2511,Analistas de sistemas
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,profesor de escuela de negocios/profesora de escuela de negocios,released,profesor de empresariales | profesora de escuela de negocios | profesor de escuela de negocios | profesora de empresariales,"Los profesores de escuela de negocios son catedráticos de dicha materia, profesores, o profesores universitarios que forman en su disciplina de especialidad, las ciencias empresariales —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, en la puntuación de trabajos y exámenes, así como en la dirección de sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en su área de especialidad dentro del ámbito de las ciencias empresariales, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,profesor universitario de ciencias de la Tierra/profesora universitaria de ciencias de la Tierra,released,profesora universitaria de ciencias de la Tierra | profesora universitaria de geociencias | profesor universitario de ciencias de la Tierra | profesor universitario de geociencias,"Los profesores universitarios de ciencias de la Tierra son catedráticos de dicha materia, profesores, o profesores universitarios que forman en su disciplina de especialidad, las ciencias de la Tierra —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, en la puntuación de trabajos y exámenes y en la dirección de sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en su área de especialidad dentro del ámbito de las ciencias de la Tierra, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,ingeniero especialista en optoelectrónica/ingeniera especialista en optoelectrónica,released,ingeniero especialista en optoelectrónica | ingeniera especialista en optoelectrónica,"Los ingenieros especialistas en optoelectrónica diseñan y desarrollan sistemas y dispositivos optoelectrónicos, como sensores UV, fotodiodos y LED. La ingeniería optoelectrónica combina la ingeniería óptica con la ingeniería electrónica en el diseño de estos sistemas y dispositivos. Estos ingenieros llevan a cabo estudios, realizan análisis, someten los dispositivos a pruebas y supervisan la investigación.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,ingeniero electrónico/ingeniera electrónica
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,investigador de ciencias sociales/investigadora de ciencias sociales,released,investigadora de ciencias sociales | investigador de ciencias sociales | investigadora de trabajo social | investigador de trabajo social,"Los investigadores de ciencias sociales gestionan proyectos de investigación destinados a investigar e informar sobre cuestiones sociales. En primer lugar, investigan reuniendo información mediante entrevistas, grupos claves y cuestionarios; después, organizan y analizan la información recopilada utilizando paquetes de programas informáticos. Analizan los problemas y necesidades sociales y las diferentes vías y técnicas para hacerles frente.",http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sociólogo/socióloga
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,profesor universitario de veterinaria/profesora universitaria de veterinaria,released,profesora universitaria de veterinaria | profesor universitario de veterinaria,"Los profesores universitarios de veterinaria son catedráticos de dicha materia, profesores, o profesores universitarios, y, a menudo, médicos que forman en su disciplina de especialidad, la medicina veterinaria —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, en la puntuación de trabajos y exámenes, en la dirección de las prácticas de laboratorio, así como en la dirección de sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en sus respectivas áreas de especialidad dentro del ámbito de la medicina veterinaria, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,profesor universitario de odontología/profesora universitaria de odontología,released,profesor universitario de odontología | profesora universitaria de odontología,"Los profesores universitarios de odontología son catedráticos de dicha materia, profesores, o profesores universitarios, y, a menudo, médicos que forman en su disciplina de especialidad, la odontología —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, en la puntuación de trabajos y exámenes, en la dirección de las prácticas de laboratorio, así como en la dirección de sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en sus respectivas áreas de especialidad dentro del ámbito de la odontología, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,climatólogo/climatóloga,released,especialista en climatología | climatólogo | climatóloga,"Los climatólogos estudian la evolución media del tiempo meteorológico y el clima desde una perspectiva a largo plazo. Investigan y analizan las condiciones meteorológicas a lo largo de la historia con el fin de pronosticar tendencias climáticas como las variaciones en la temperatura, el calentamiento global o la progresión de las condiciones meteorológicas regionales. Utilizan estas conclusiones para asesorar en materia de política medioambiental, construcción, proyectos agrícolas y asuntos sociales.",http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorólogo/meteoróloga
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,toxicólogo/toxicóloga,released,toxicóloga | toxicólogo,"Los toxicólogos estudian los efectos que las sustancias químicas o los agentes biológicos y físicos tienen en los organismos vivos, más específicamente, en el medio ambiente y en la salud humana y animal. Determinan las dosis de exposición a sustancias responsables de efectos tóxicos en entornos, personas y organismos vivos, y también realizan experimentos con animales y cultivos celulares.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biólogo/bióloga
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,etólogo/etóloga,released,etóloga | etólogo,"Los etólogos investigan, observan y describen el comportamiento humano en sociedad. Extraen conclusiones sobre los motivos que inducen a acciones en humanos, observan las diversas circunstancias de los distintos comportamientos y describen personalidades diferentes. Asesoran a organizaciones e instituciones gubernamentales en este ámbito. También pueden analizar el comportamiento de los animales.",http://data.europa.eu/esco/isco/C2632,"Sociólogos, antropólogos y afines"
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,profesor universitario de periodismo/profesora universitaria de periodismo,released,profesora universitaria de periodismo | profesor universitario de periodismo,"Los profesores universitarios de periodismo y comunicación audiovisual son catedráticos de dicha materia, profesores, o profesores universitarios que forman en su disciplina de especialidad, el periodismo y los medios de comunicación —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, en la puntuación de trabajos y exámenes, así como en la dirección de sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en sus respectivas áreas de especialidad dentro del ámbito del periodismo y los medios de comunicación, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,profesor universitario de comunicación/profesora universitaria de comunicación,released,profesor universitario de comunicación | profesora universitaria de comunicación,"Los profesores universitarios de comunicación son catedráticos de dicha materia, profesores, o profesores universitarios que forman en su disciplina de especialidad, las comunicaciones —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, en la puntuación de trabajos y exámenes, así como en la dirección de sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en su área de especialidad dentro del ámbito de la comunicación, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,oceanógrafo/oceanógrafa,released,biólogo marino | oceanógrafo | bióloga marina | oceanógrafa,"Los oceanógrafos estudian e investigan cuestiones relacionadas con el mar y los océanos. Los oceanógrafos dividen sus conocimientos en varias ramas de investigación, que son la oceanografía física —cuya investigación se centra en las olas y las mareas—, la oceanografía química —cuyo estudio aborda la constitución química de las aguas marinas— y la oceanografía geológica —cuya investigación se centra en el fondo de los mares y las placas marinas.
   ",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geólogo/geóloga
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,profesor universitario de arquitectura/profesora universitaria de arquitectura,released,profesor universitario de arquitectura | profesora universitaria de arquitectura,"Los profesores universitarios de arquitectura son catedráticos de dicha materia, profesores, o profesores universitarios que forman en su disciplina de especialidad, la arquitectura —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, en la puntuación de trabajos y exámenes, así como en la dirección de sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en su respectiva área de especialidad dentro del ámbito de la arquitectura, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,ingeniero en sensórica/ingeniera en sensórica,released,ingeniera en sensórica | ingeniera especializada en sensores | ingeniero en sensórica | ingeniero especializado en sensores,"Los ingenieros en sensórica diseñan y desarrollan sensores, sistemas de sensores y productos equipados con sensores. Además, planifican y supervisan la fabricación de estos productos.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,ingeniero electrónico/ingeniera electrónica
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,politólogo/politóloga,released,politóloga | investigadora en ciencias políticas | investigador en ciencias políticas | politólogo,"Los politólogos estudian el comportamiento, la actividad y los sistemas políticos, incluidos los elementos que entran en él. Su estudio sobre el terreno va desde los orígenes y la evolución de los diversos sistemas políticos a asuntos de actualidad como los procesos de toma de decisiones, el comportamiento político, las tendencias políticas, la sociedad y las perspectivas de poder. Asesoran a los gobiernos y a las organizaciones institucionales sobre cuestiones de gobernanza.",http://data.europa.eu/esco/isco/C2633,"Filósofos, historiadores y especialistas en ciencias políticas"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,psicólogo/psicóloga,released,psicóloga | psicólogo,"Los psicólogos estudian el comportamiento y los procesos mentales en los seres humanos. Prestan servicios a los clientes que se ocupan de problemas de salud mental y cuestiones de vida como, por ejemplo, el fallecimiento, las dificultades de relación, la violencia doméstica y los abusos sexuales. También proporcionan asesoramiento para cuestiones de salud mental tales como trastornos de alimentación, trastornos por estrés postraumático y psicosis para ayudar a los clientes a rehabilitar y alcanzar un comportamiento sano.",http://data.europa.eu/esco/isco/C2634,Psicólogos
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,hidrólogo/hidróloga,released,hidrólogo | ingeniera especializada en suministro de aguas | ingeniero hidráulico | ingeniera hidráulica | ingeniero especializado en suministro de aguas | hidróloga,"Los hidrólogos investigan y estudian la calidad, los desafíos actuales y la distribución del agua en la Tierra. Estudian el abastecimiento de agua procedente de los ríos, arroyos y manantiales para determinar un uso adecuado y sostenible de esta. Planifican y desarrollan, junto con un equipo multidisciplinario de profesionales, la forma de suministrar agua a las ciudades y zonas urbanas, al mismo tiempo que garantizan un uso eficiencia de la misma así como la conservación de los recursos.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geólogo/geóloga
Occupation,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,científico veterinario,released,,"Los científicos veterinarios idean y llevan a cabo investigaciones en modelos animales, comparan la biología básica de distintos animales y trasladan los resultados de las investigaciones a diferentes especies, también el ser humano.",http://data.europa.eu/esco/isco/C2250,Veterinarios
Occupation,http://data.europa.eu/esco/occupation/55a785db-0636-41b8-950f-0b65abe5e81b,profesor universitario de farmacia/profesora universitaria de farmacia,released,profesora universitaria de farmacia | profesor universitario de farmacia,"Los profesores universitarios de farmacia son catedráticos de dicha materia, profesores, o profesores universitarios que forman en su disciplina de especialidad, la farmacia —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, en la puntuación de trabajos y exámenes, en la dirección de las prácticas de laboratorio, así como en la dirección de sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en su área de especialidad dentro del ámbito de la farmacia, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/574f3232-1d07-4034-8cac-c57ddbfff192,químico analista/química analista,released,química analista | químico analista,"Los químicos analistas investigan y describen la composición química de las sustancias. Además, extraen conclusiones relacionadas con el comportamiento de estas sustancias en diversas condiciones. Los químicos analistas desempeñan un papel importante para analizar la relación entre la química y el entorno, los alimentos, los combustibles y la medicina. Utilizan una serie de técnicas como la electrocromatografía, la cromatografía de gases, la cromatografía líquida de alta resolución y la espectroscopia.
	",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,químico/química
